run	sample	study	bioproject	biosample	center	releasedate	platform	instrument	librarylayout	libraryselection	assay_type	mbases
SRR061439	SRS053603	SRP002163	PRJNA48479	SAMN00073612	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	4607
SRR061440	SRS064423	SRP002163	PRJNA48479	SAMN00083447	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5218
SRR061441	SRS015537	SRP002163	PRJNA48479	SAMN00036755	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5589
SRR061442	SRS050925	SRP002163	PRJNA48479	SAMN00070934	WUGSC	2010-08-17	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5242
SRR061443	SRS050925	SRP002163	PRJNA48479	SAMN00070934	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5257
SRR061445	SRS042910	SRP002163	PRJNA48479	SAMN00062919	WUGSC	2010-08-17	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5865
SRR061446	SRS019219	SRP002163	PRJNA48479	SAMN00040437	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5778
SRR061447	SRS042910	SRP002163	PRJNA48479	SAMN00062919	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5919
SRR061448	SRS014124	SRP002163	PRJNA48479	SAMN00035342	WUGSC	2010-09-22	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5979
SRR061449	SRS014124	SRP002163	PRJNA48479	SAMN00035342	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5937
SRR061450	SRS015272	SRP002163	PRJNA48479	SAMN00036490	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5567
SRR061451	SRS015537	SRP002163	PRJNA48479	SAMN00036755	WUGSC	2010-08-13	ILLUMINA	Illumina Genome Analyzer II	PAIRED	RANDOM	WGS	5387
